País,Khloé Kardashian: (1/1/07 - 21/3/19)
Afganistán,
Albania,
Alemania,4
Andorra,
Angola,
Anguila,
Antártida,
Antigua y Barbuda,
Arabia Saudí,4
Argelia,8
Argentina,6
Armenia,
Aruba,
Australia,40
Austria,8
Azerbaiyán,
Bélgica,14
Bahamas,
Bangladés,
Baréin,
Barbados,
Belice,
Benín,
Bermudas,
Bielorrusia,
Bolivia,
Bosnia y Herzegovina,
Botsuana,
Brasil,6
Brunéi,
Bulgaria,
Burkina Faso,
Burundi,
Bután,
Côte d’Ivoire,78
Cabo Verde,
Camboya,
Camerún,
Canadá,40
Caribe neerlandés,
Catar,
Chad,
Chequia,
Chile,10
China,
Chipre,
Ciudad del Vaticano,
Colombia,14
Comoras,
Congo,
Corea del Norte,
Corea del Sur,
Costa Rica,25
Croacia,23
Cuba,
Curazao,
Dinamarca,19
Dominica,
Ecuador,10
Egipto,
El Salvador,
Emiratos Árabes Unidos,17
Eritrea,
Eslovaquia,
Eslovenia,29
España,8
Estados Unidos,48
Estonia,
Esuatini,
Etiopía,
Filipinas,12
Finlandia,10
Fiyi,
Francia,12
Gabón,
Gambia,
Georgia,
Ghana,
Gibraltar,
Granada,
Grecia,12
Groenlandia,
Guadalupe,
Guam,
Guatemala,
Guayana Francesa,
Guernesey,
Guinea Ecuatorial,
Guinea,
Guinea-Bisáu,
Guyana,
Haití,
Honduras,
Hong Kong,
Hungría,
India,2
Indonesia,2
Irán,
Irak,
Irlanda,46
Isla Bouvet,
Isla de Man,
Isla de Navidad,
Isla Norfolk,
Islandia,
Islas Aland,
Islas Caimán,
Islas Cocos,
Islas Cook,
Islas Feroe,
Islas Georgia del Sur y Sandwich del Sur,
Islas Heard y McDonald,
Islas Malvinas (Islas Falkland),
Islas Marianas del Norte,
Islas Marshall,
Islas menores alejadas de EE. UU.,
Islas Pitcairn,
Islas Salomón,
Islas Turcas y Caicos,
Islas Vírgenes Británicas,
Islas Vírgenes de EE. UU.,
Israel,10
Italia,4
Jamaica,65
Japón,<1
Jersey,
Jordania,
Kazajistán,
Kenia,59
Kirguistán,
Kiribati,
Kosovo,
Kuwait,
Líbano,
Laos,
Lesoto,
Letonia,
Liberia,
Libia,
Liechtenstein,
Lituania,
Luxemburgo,
México,17
Mónaco,
Macao,
Macedonia del Norte,
Madagascar,
Malasia,8
Malaui,
Maldivas,
Mali,
Malta,
Marruecos,8
Martinica,
Mauricio,
Mauritania,
Mayotte,
Micronesia,
Moldavia,
Mongolia,
Montenegro,
Montserrat,
Mozambique,
Myanmar (Birmania),
Níger,
Namibia,
Nauru,
Nepal,
Nicaragua,
Nigeria,38
Niue,
Noruega,34
Nueva Caledonia,
Nueva Zelanda,48
Omán,
Países Bajos,14
Pakistán,4
Palaos,
Palestina,
Panamá,31
Papúa Nueva Guinea,
Paraguay,
Perú,6
Polinesia Francesa,
Polonia,8
Portugal,17
Puerto Rico,34
Reino Unido,36
República Centroafricana,
República Democrática del Congo,
República Dominicana,19
Reunión,
Ruanda,
Rumanía,6
Rusia,2
Sáhara Occidental,
Samoa Americana,
Samoa,
San Bartolomé,
San Cristóbal y Nieves,
San Marino,
San Martín,
San Pedro y Miquelón,
San Vicente y las Granadinas,
Santa Elena,
Santa Lucía,
Santo Tomé y Príncipe,
Senegal,
Serbia,14
Seychelles,
Sierra Leona,
Singapur,12
Sint Maarten,
Siria,
Somalia,
Sri Lanka,
Sudáfrica,80
Sudán del Sur,
Sudán,
Suecia,21
Suiza,12
Surinam,
Svalbard y Jan Mayen,
Tailandia,
Taiwán,
Tanzania,
Túnez,
Tayikistán,
Territorio Británico del Océano Índico,
Territorios Australes Franceses,
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad y Tobago,100
Turkmenistán,
Turquía,4
Tuvalu,
Ucrania,
Uganda,72
Uruguay,
Uzbekistán,
Vanuatu,
Venezuela,19
Vietnam,
Wallis y Futuna,
Yemen,
Yibuti,
Zambia,
Zimbabue,
